
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.43018332e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44335203e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42808037e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40466194e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35527267e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35275698e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42677717e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42598953e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42615166e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39805403e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42802010e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41276484e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43780794e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.43364334e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.43067341e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.49538231e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.49542246e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.50076094e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43961124e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43951387e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43948374e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.43953876e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.43952827e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.43933783e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.42954855e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.42997589e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43202572e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.44084225e+01
