
[Name]
symmetry 1

[Data]
X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-5.38986397e+00, 1.19735527e+01, 1.01503059e-01, 1.43024960e+01
-6.77947617e+00, 1.11635427e+01, 1.01503059e-01, 1.44338894e+01
-5.47698355e+00, 9.93571472e+00, 1.01503059e-01, 1.42812347e+01
-3.30783987e+00, 1.22796621e+01, 1.01503059e-01, 1.40476656e+01
-1.51332617e+00, 1.18352737e+01, 1.01503059e-01, 1.35539436e+01
-1.57026255e+00, 1.31986198e+01, 1.01503059e-01, 1.35288267e+01
1.08161373e+01, -1.72059488e+00, 1.01503059e-01, 1.42695656e+01
1.09289551e+01, -1.88090479e+00, 1.01503059e-01, 1.42653542e+01
1.10161028e+01, -1.71909976e+00, 1.01503059e-01, 1.42637300e+01
7.04121304e+00, 1.11224499e+01, 1.01503059e-01, 1.39832602e+01
8.71638489e+00, 1.09611921e+01, 1.01503059e-01, 1.42832804e+01
8.26016808e+00, 1.29702644e+01, 1.01503059e-01, 1.41302967e+01
-2.10188851e-01, 3.31256127e+00, 1.01503059e-01, 1.43734159e+01
3.45787734e-01, 3.59254766e+00, 1.01503059e-01, 1.43344584e+01
-3.09087951e-02, 3.83916306e+00, 1.01503059e-01, 1.43042908e+01
4.26649004e-01, -2.96275198e-01, 1.01503059e-01, 1.49316530e+01
4.39754635e-01, -3.14439029e-01, 1.01503059e-01, 1.49333096e+01
4.44353998e-01, -2.95459807e-01, 1.01503059e-01, 1.49831161e+01
1.20211945e+01, 6.40218377e-01, 1.01503059e-01, 1.43857813e+01
1.19866962e+01, 5.87839067e-01, 1.01503059e-01, 1.43850231e+01
1.20378428e+01, 5.82120240e-01, 1.01503059e-01, 1.43858566e+01
1.21860466e+01, 4.91272062e-01, 1.01503059e-01, 1.43871355e+01
1.22206059e+01, 4.81085032e-01, 1.01503059e-01, 1.43875542e+01
1.21932325e+01, 5.20694852e-01, 1.01503059e-01, 1.43889065e+01
-1.47227252e+00, -8.93830061e-01, 1.01503059e-01, 1.43009548e+01
-1.53392982e+00, -7.94326544e-01, 1.01503059e-01, 1.43043690e+01
-1.59507108e+00, -9.04552698e-01, 1.01503059e-01, 1.43244810e+01
1.18232841e+01, 4.24880207e-01, 1.01503059e-01, 1.43742085e+01
1.18391628e+01, 4.27673221e-01, 1.01503059e-01, 1.43745785e+01
1.18304014e+01, 4.43076462e-01, 1.01503059e-01, 1.43758669e+01
1.19817524e+01, 3.63010377e-01, 1.01503059e-01, 1.43686199e+01
1.20025015e+01, 3.63666177e-01, 1.01503059e-01, 1.43688717e+01
1.19913225e+01, 3.85608584e-01, 1.01503059e-01, 1.43709736e+01
1.15732489e+01, -5.67343116e-01, 1.01503059e-01, 1.43334055e+01
1.15519276e+01, -5.64609408e-01, 1.01503059e-01, 1.43340397e+01
1.15621243e+01, -5.86877525e-01, 1.01503059e-01, 1.43314896e+01
7.11094999e+00, 7.97256112e-01, 1.01503059e-01, 1.38473120e+01
7.21466398e+00, 7.82157362e-01, 1.01503059e-01, 1.39406776e+01
7.15580606e+00, 8.63408625e-01, 1.01503059e-01, 1.35247803e+01
1.04847651e+01, -5.38201869e-01, 1.01503059e-01, 1.43681803e+01
1.04609966e+01, -5.32836318e-01, 1.01503059e-01, 1.43697281e+01
1.04616556e+01, -5.52772582e-01, 1.01503059e-01, 1.43655062e+01
1.09866934e+01, 3.73773456e-01, 1.01503059e-01, 1.43584480e+01
1.10065193e+01, 3.70957643e-01, 1.01503059e-01, 1.43586626e+01
1.09969320e+01, 3.94344091e-01, 1.01503059e-01, 1.43604698e+01
1.12788496e+01, -4.80175287e-01, 1.01503059e-01, 1.43452768e+01
1.12570782e+01, -4.82692063e-01, 1.01503059e-01, 1.43463011e+01
1.12712688e+01, -5.03387630e-01, 1.01503059e-01, 1.43469009e+01
1.22162161e+01, -4.28769827e-01, 1.01503059e-01, 1.43023281e+01
1.22023697e+01, -4.31238264e-01, 1.01503059e-01, 1.43033638e+01
1.22128563e+01, -4.44269568e-01, 1.01503059e-01, 1.43057814e+01
1.17030535e+01, 2.40716457e-01, 1.01503059e-01, 1.43504686e+01
1.16923323e+01, 2.62180269e-01, 1.01503059e-01, 1.43534079e+01
1.16840315e+01, 2.40515828e-01, 1.01503059e-01, 1.43502073e+01
3.45193386e+00, 5.09953558e-01, 1.01503059e-01, 1.22843189e+01
3.44386816e+00, 4.85252589e-01, 1.01503059e-01, 1.24364424e+01
3.46923280e+00, 4.70846027e-01, 1.01503059e-01, 1.24916620e+01
7.90670204e+00, -6.10264361e-01, 1.01503059e-01, 1.43138361e+01
7.90867901e+00, -5.90854883e-01, 1.01503059e-01, 1.43128700e+01
7.89119911e+00, -5.93658388e-01, 1.01503059e-01, 1.43128052e+01
1.02748127e+01, -5.00178218e-01, 1.01503059e-01, 1.43815031e+01
1.02555542e+01, -4.91774291e-01, 1.01503059e-01, 1.43831778e+01
1.02544527e+01, -5.11718273e-01, 1.01503059e-01, 1.43804560e+01
9.22599614e-01, -1.34287333e+00, 1.01503059e-01, 1.45029840e+01
9.02357101e-01, -1.34790981e+00, 1.01503059e-01, 1.44971352e+01
9.17751729e-01, -1.36295712e+00, 1.01503059e-01, 1.44999838e+01
1.05727315e+00, 1.26035631e+00, 1.01503059e-01, 1.48728304e+01
1.04718232e+00, 1.27884853e+00, 1.01503059e-01, 1.48697634e+01
1.03761649e+00, 1.25880921e+00, 1.01503059e-01, 1.48949146e+01
7.25151348e+00, 5.40263414e-01, 1.01503059e-01, 1.43415575e+01
7.21711779e+00, 5.94764590e-01, 1.01503059e-01, 1.43457422e+01
7.21450949e+00, 5.45714319e-01, 1.01503059e-01, 1.43435011e+01
-1.21602881e+00, 7.62562128e-03, 1.01503059e-01, 1.42395191e+01
-1.23359084e+00, 1.34881325e-02, 1.01503059e-01, 1.42450132e+01
-1.22879982e+00, -9.14025400e-03, 1.01503059e-01, 1.42401934e+01
2.38563180e+00, -6.05723023e-01, 1.01503059e-01, 1.44637041e+01
2.38913465e+00, -6.43408239e-01, 1.01503059e-01, 1.44513893e+01
2.40092206e+00, -6.27610385e-01, 1.01503059e-01, 1.44617043e+01
-1.05746055e+00, -6.16625309e-01, 1.01503059e-01, 1.41597471e+01
-1.04901087e+00, -5.99463582e-01, 1.01503059e-01, 1.41549435e+01
-1.06741023e+00, -6.10403299e-01, 1.01503059e-01, 1.41625662e+01
6.44153416e-01, -1.41797256e+00, 1.01503059e-01, 1.44552288e+01
6.26035213e-01, -1.42367470e+00, 1.01503059e-01, 1.44561501e+01
6.43061817e-01, -1.44382429e+00, 1.01503059e-01, 1.44600229e+01
8.48112297e+00, 4.44921702e-01, 1.01503059e-01, 1.43161077e+01
8.46759796e+00, 4.62519497e-01, 1.01503059e-01, 1.43163700e+01
8.45747185e+00, 4.42237407e-01, 1.01503059e-01, 1.43162146e+01
1.13139448e+01, 2.47508153e-01, 1.01503059e-01, 1.43424644e+01
1.13213997e+01, 2.33548120e-01, 1.01503059e-01, 1.43385820e+01
1.13233528e+01, 2.58715361e-01, 1.01503059e-01, 1.43451948e+01
1.08708639e+01, -4.43778306e-01, 1.01503059e-01, 1.43577766e+01
1.08549824e+01, -4.52517629e-01, 1.01503059e-01, 1.43598852e+01
1.08629446e+01, -4.63305175e-01, 1.01503059e-01, 1.43609562e+01
4.44293404e+00, -6.59065306e-01, 1.01503059e-01, 1.42615891e+01
4.40227413e+00, -6.71229601e-01, 1.01503059e-01, 1.42539330e+01
4.43977261e+00, -6.89371109e-01, 1.01503059e-01, 1.42552443e+01
2.62450099e-01, 1.41506243e+00, 1.01503059e-01, 1.48179169e+01
2.84263551e-01, 1.40931380e+00, 1.01503059e-01, 1.48283253e+01
2.71233857e-01, 1.42793715e+00, 1.01503059e-01, 1.48175688e+01
8.64661503e+00, -6.06381357e-01, 1.01503059e-01, 1.43148546e+01
8.62256718e+00, -6.11942351e-01, 1.01503059e-01, 1.43140364e+01
8.63925552e+00, -6.26859367e-01, 1.01503059e-01, 1.43140049e+01
9.57004356e+00, -4.95873302e-01, 1.01503059e-01, 1.43954554e+01
9.55089378e+00, -4.86275285e-01, 1.01503059e-01, 1.43977470e+01
9.55138683e+00, -5.06518066e-01, 1.01503059e-01, 1.43930502e+01
4.45303249e+00, -6.31896198e-01, 1.01503059e-01, 1.42864351e+01
4.42823792e+00, -6.28741860e-01, 1.01503059e-01, 1.42841101e+01
-4.68497038e-01, 1.22571123e+00, 1.01503059e-01, 1.46877747e+01
-4.54944611e-01, 1.23674202e+00, 1.01503059e-01, 1.46929541e+01
-4.75701630e-01, 1.24012828e+00, 1.01503059e-01, 1.46827240e+01
4.21257877e+00, -6.02220416e-01, 1.01503059e-01, 1.42972174e+01
4.20245743e+00, -5.84358215e-01, 1.01503059e-01, 1.43183241e+01
4.19921541e+00, -6.09622240e-01, 1.01503059e-01, 1.42840958e+01
4.32602501e+00, 4.29494649e-01, 1.01503059e-01, 1.39861727e+01
4.34247398e+00, 4.36696440e-01, 1.01503059e-01, 1.39650974e+01
4.33093786e+00, 4.49335217e-01, 1.01503059e-01, 1.37770290e+01
7.85611439e+00, -5.30943573e-01, 1.01503059e-01, 1.43365231e+01
7.85076141e+00, -5.17044425e-01, 1.01503059e-01, 1.43433151e+01
7.84717369e+00, -5.39705932e-01, 1.01503059e-01, 1.43316460e+01
7.57735372e-01, -1.30217695e+00, 1.01503059e-01, 1.44615307e+01
7.43628204e-01, -1.30587316e+00, 1.01503059e-01, 1.44594669e+01
7.60548353e-01, -1.32076526e+00, 1.01503059e-01, 1.44609041e+01
9.69074821e+00, -4.79492575e-01, 1.01503059e-01, 1.43971567e+01
9.67164898e+00, -4.81397659e-01, 1.01503059e-01, 1.43972435e+01
9.68237305e+00, -5.01014471e-01, 1.01503059e-01, 1.43930473e+01
7.64225340e+00, -5.86806953e-01, 1.01503059e-01, 1.43147688e+01
7.62707472e+00, -5.88450849e-01, 1.01503059e-01, 1.43146658e+01
7.63667870e+00, -6.04218364e-01, 1.01503059e-01, 1.43155241e+01
4.93126535e+00, -6.02681100e-01, 1.01503059e-01, 1.43624191e+01
4.91424751e+00, -6.06147289e-01, 1.01503059e-01, 1.43612852e+01
4.92925882e+00, -6.24851704e-01, 1.01503059e-01, 1.43515263e+01
6.59977770e+00, -5.89130580e-01, 1.01503059e-01, 1.43390360e+01
6.58197975e+00, -5.94661534e-01, 1.01503059e-01, 1.43395929e+01
6.59251785e+00, -6.07195139e-01, 1.01503059e-01, 1.43400354e+01
6.27240992e+00, 4.61084485e-01, 1.01503059e-01, 1.43668537e+01
6.25720978e+00, 4.55837727e-01, 1.01503059e-01, 1.43671494e+01
6.26163864e+00, 4.37220037e-01, 1.01503059e-01, 1.43665504e+01
2.82989049e+00, -5.79320848e-01, 1.01503059e-01, 1.43867874e+01
2.82983017e+00, -6.01000309e-01, 1.01503059e-01, 1.44215431e+01
2.83863902e+00, -5.93734920e-01, 1.01503059e-01, 1.44059134e+01
8.15029526e+00, -5.19490778e-01, 1.01503059e-01, 1.43524733e+01
8.13115597e+00, -5.17859340e-01, 1.01503059e-01, 1.43536263e+01
8.13776588e+00, -5.39429426e-01, 1.01503059e-01, 1.43381281e+01
4.99049044e+00, 4.50505704e-01, 1.01503059e-01, 1.43923903e+01
5.01233053e+00, 4.50789839e-01, 1.01503059e-01, 1.43945646e+01
4.99681425e+00, 4.71735537e-01, 1.01503059e-01, 1.43641233e+01
1.12438698e+01, -3.39655936e-01, 1.01503059e-01, 1.43027658e+01
1.12251453e+01, -3.30693543e-01, 1.01503059e-01, 1.43011303e+01
1.12245245e+01, -3.49547863e-01, 1.01503059e-01, 1.43065548e+01
3.98678827e+00, -5.83592892e-01, 1.01503059e-01, 1.42961912e+01
3.97974443e+00, -5.68646252e-01, 1.01503059e-01, 1.43113165e+01
3.97817826e+00, -5.91546655e-01, 1.01503059e-01, 1.42825146e+01
1.25085878e+01, -1.72412291e-01, 1.01503059e-01, 1.42956352e+01
1.25293818e+01, -1.84213787e-01, 1.01503059e-01, 1.42947044e+01
1.25292492e+01, -1.64503917e-01, 1.01503059e-01, 1.42975893e+01
